id_cliente,fecha_registro,año_registro,mes_registro,trimestre_registro,nombre_completo,nombre_limpio,apellido,email,email_valido,dominio_email,edad,rango_edad,genero,pais,ciudad,codigo_postal,profesion,segmento_cliente,estado_cliente,fecha_ultima_compra,dias_sin_compra,total_compras,monto_total_gastado,ticket_promedio,frecuencia_compras_mes,antiguedad_dias,churn_risk,lifetime_value,canal_adquisicion,ultima_campania,num_reclamaciones,puntuacion_satisfaccion,activo,fecha_baja,motivo_baja,sucursal_preferida,dispositivo_preferido,acepta_newsletter,verificado_identidad,limite_credito,riesgo_fraude
1,2021-08-13,2021,8,3,LUIS rodriguez,Luis,Rodriguez,luis@hotmail.com,True,hotmail.com,60,60+,0,Chile,Buenos Aires,,Médico,Nuevo,Baja Morosidad,2022-01-03,1605,4,962.0289831033969,240.5072457758492,0.06864988558352403,1748,Alto,200.88133800499992,Referido,BlackFriday,8,5,True,2022-03-20,,Móvil,Web Móvil,0,PENDIENTE,53,Crítico
2,2021-01-28,2021,1,1,elena sanchez,Elena,Sanchez,elena@gmail.com,True,gmail.com,78,60+,,Colombia,Bogotá,08001,Estudiante,Inactivo,,2021-08-02,1759,15,4041.7882118341795,269.452547455612,0.23136246786632392,1945,Alto,758.4846772850774,Web,BlackFriday,10,N/A,0,,,Móvil,App iOS,True,RECHAZADO,511,Crítico
3,2021-08-22,2021,8,3,Usuario Desconocido,Desconocido,,cliente3@hotmail.com,True,hotmail.com,31,30-44,,España,Madrid,123,Estudiante,Corporativo,Baja Morosidad,2021-11-18,1651,10,3085.4848895813752,308.5484889581375,0.1725129384703853,1739,Alto,647.6147123043139,,BlackFriday,1,5,False,2022-06-15,No usa,Norte,Web,True,RECHAZADO,567,
4,2022-11-01,2022,11,4,JAVIER,Javier,,javier@outlook.es,True,outlook.es,70,60+,,España,,28001,Empresario,Básico,Activo,2024-04-01,786,5,508.317966706279,101.66359334125579,0.11511895625479662,1303,Alto,142.39144884711575,Referido,Navidad2023,6,4,Si,,,Online,,Sí,PENDIENTE,581,Medio
5,2023-08-10,2023,8,3,PEDRO,Pedro,,pedro@empresa.es,True,empresa.es,77,60+,,Colombia,,,,VIP,Bloqueado,2024-09-25,609,38,6838.165851773895,179.9517329414183,1.1165523996082274,1021,Alto,2444.5940606243603,Web,BlackFriday,0,6,0,,,Online,,0,,6958,Crítico
6,2021-01-18,2021,1,1,Cliente Anónimo,Desconocido,,correo_invalido_sin_arroba,False,,42,30-44,Otro,México,,CP_INVALIDO,Ingeniero,Básico,Inactivo,2021-01-20,1953,50,1837.1989514930715,36.74397902986143,0.7672634271099744,1955,Alto,343.0064538593203,Redes Sociales,,0,,False,,,,App Android,1,,687,Crítico
7,2023-09-25,2023,9,3,martinez,Desconocido,Martinez,cliente7@yahoo.com,True,yahoo.com,veinticinco,,M,México,Buenos Aires,CP_INVALIDO,Jubilado,VIP,Bloqueado,2023-12-20,889,30,1090.665886888611,36.355529562953706,0.9230769230769231,975,Alto,408.30056278394164,,Primavera2024,7,2,0,,,Online,,False,,18507,
8,2023-06-08,2023,6,2,miguel fernandez,Miguel,Fernandez,miguel@hotmail.com,True,hotmail.com,50,45-59,No especificado,,Madrid,08001,Docente,Corporativo,Baja Voluntaria,2023-06-13,1079,-27,0,0,0,975,Alto,0.0,,,8,5,1,2023-09-18,No usa,Centro,,0,RECHAZADO,937,Alto
9,fecha_invalida,2022,1,1,elena,Elena,,elena@yahoo.com,True,yahoo.com,70,60+,,México,Buenos Aires,08001,Docente,Nuevo,,2023-03-22,1162,29,5004.5268532779755,172.56989149234397,0.5475141598489617,1589,Alto,1149.5609197271624,Email Marketing,Primavera2024,8,0,0,,,,App iOS,No,VERIFICADO,91,Crítico
10,2021-01-24,2021,1,1,fernandez,Desconocido,Fernandez,cliente10@empresa.es,True,empresa.es,73,60+,0,,,28001,,Corporativo,Activo,2021-07-28,1764,30,10679.636895637708,355.9878965212569,0.4617752693689071,1949,Alto,2000.0346161661178,,BlackFriday,5,,Activo,,,,Web Móvil,True,,151,Bajo
